iter	Logloss
0	0.684666848
1	0.6769069409
2	0.6698189375
3	0.6635471559
4	0.6574603766
5	0.6524458468
6	0.6475312583
7	0.643393272
8	0.6392756981
9	0.6356225762
10	0.632448079
11	0.629591016
12	0.6269113584
13	0.6243926652
14	0.6221411869
15	0.6200897032
16	0.6184568131
17	0.6169077935
18	0.6152859763
19	0.6139819603
20	0.6125590007
21	0.6114665226
22	0.6102982953
23	0.6091395078
24	0.6083281014
25	0.6074979512
26	0.6066375913
27	0.6060297839
28	0.6052994924
29	0.6047533121
30	0.6041227265
31	0.6034712196
32	0.6029418315
33	0.6023549888
34	0.6019686332
35	0.6014940283
36	0.6010387272
37	0.6006259242
38	0.6001017245
39	0.5997699953
40	0.5994337214
41	0.5992245619
42	0.5989264605
43	0.598479837
44	0.5980716287
45	0.5977412203
46	0.5975082025
47	0.5972809569
48	0.5969958695
49	0.5967102625
50	0.5964478693
51	0.596152828
52	0.5956916517
53	0.595414436
54	0.595013937
55	0.5947429535
56	0.5944744435
57	0.5942220907
58	0.5939139943
59	0.593738867
60	0.5935322222
61	0.5933331664
62	0.593009079
63	0.5927453112
64	0.5924265118
65	0.5922532281
66	0.5919374195
67	0.591688405
68	0.5914109331
69	0.5911883779
70	0.5908584762
71	0.5907219779
72	0.5905783804
73	0.5904035706
74	0.5901901529
75	0.5899897196
76	0.5897753744
77	0.5894109747
78	0.5891736501
79	0.5888927226
80	0.5886564186
81	0.5884610688
82	0.5883539131
83	0.5882091213
84	0.5881203958
85	0.5879630807
86	0.587692628
87	0.5875228531
88	0.5873004804
89	0.5869846021
90	0.5868175012
91	0.5866474102
92	0.5865577451
93	0.5863016374
94	0.5860784896
95	0.5858169573
96	0.5855261442
97	0.5854490955
98	0.5852812556
99	0.5852154226
100	0.584982908
