iter	Passed	Remaining
0	269	188447
1	351	122800
2	433	100600
3	524	91303
4	602	83695
5	679	78598
6	759	75192
7	839	72589
8	915	70318
9	994	68642
10	1071	67139
11	1188	68133
12	1293	68343
13	1378	67533
14	1456	66522
15	1535	65629
16	1613	64828
17	1691	64090
18	1769	63424
19	1847	62827
20	1927	62334
21	2006	61841
22	2084	61351
23	2165	60989
24	2246	60656
25	2345	60797
26	2429	60566
27	2512	60291
28	2592	59975
29	2668	59592
30	2746	59262
31	2826	59006
32	2908	58793
33	2993	58639
34	3073	58395
35	3158	58250
36	3238	58032
37	3324	57918
38	3438	58274
39	3542	58450
40	3653	58718
41	3731	58454
42	3815	58289
43	3900	58150
44	3987	58033
45	4068	57839
46	4149	57649
47	4232	57487
48	4315	57339
49	4397	57164
50	4478	56993
51	4559	56816
52	4642	56668
53	4729	56580
54	4829	56632
55	4932	56718
56	5014	56566
57	5114	56611
58	5220	56719
59	5312	56664
60	5392	56486
61	5469	56282
62	5547	56091
63	5625	55898
64	5703	55713
65	5783	55556
66	5860	55368
67	5961	55410
68	6060	55426
69	6141	55275
70	6222	55127
71	6306	55005
72	6385	54849
73	6464	54684
74	6540	54503
75	6615	54315
76	6689	54121
77	6763	53934
78	6843	53791
79	6930	53711
80	7011	53582
81	7094	53465
82	7190	53450
83	7279	53381
84	7353	53204
85	7430	53048
86	7506	52890
87	7585	52751
88	7664	52620
89	7744	52493
90	7826	52374
91	7905	52244
92	7981	52095
93	8062	51980
94	8141	51847
95	8217	51702
96	8297	51584
97	8405	51634
98	8503	51622
99	8583	51501
100	8662	51376
